0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497401038560 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497401038571 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/homeInfo/list?_dc=1497401038586 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/classNews/list?_dc=1497401038604 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/classNews/list?_dc=1497401038620 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/internalAnnouncement/list?_dc=1497401038637 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:43:58 +0800] "POST /scfyd/document/list?_dc=1497401038654 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/pubManager/custManager/custManager.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/css/validator/bootstrapValidator.css HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/106/css/selectordie_theme_03.css HTTP/1.1" 200 9518
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/106/js/selectordie.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/password.js HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/bootstrap-validator/zh_CN.js HTTP/1.1" 200 12283
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/ajaxfileupload.js HTTP/1.1" 200 8442
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/pubManager/custManager/custTest.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/jquery.number.js HTTP/1.1" 200 24833
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/bootstrap-validator/bootstrapValidator.js HTTP/1.1" 200 325844
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "GET /scfyd/js/advanced-datatable/js/jquery.dataTables.js HTTP/1.1" 200 377589
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:00 +0800] "POST /scfyd/custInfo/list HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:02 +0800] "GET /scfyd/login.html HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:02 +0800] "GET /scfyd/js/login.js HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:02 +0800] "GET /scfyd/js/jquery.cookie.js HTTP/1.1" 200 3095
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:03 +0800] "GET /scfyd/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:03 +0800] "GET /scfyd/login/code HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:03 +0800] "GET /scfyd/images/background.jpg HTTP/1.1" 200 59064
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:12 +0800] "POST /scfyd/login?_dc=1497401052489 HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:12 +0800] "GET /scfyd/homePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:13 +0800] "POST /scfyd/warning/count?_dc=1497401053497 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:13 +0800] "POST /scfyd/activiti/getAgencyTaskNum?_dc=1497401053515 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:13 +0800] "POST /scfyd/activiti/getHandleTaskNum?_dc=1497401053526 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [14/Jun/2017:08:44:13 +0800] "POST /scfyd/homeInfo/list?_dc=1497401053541 HTTP/1.1" 200 492
